# Stage T vehicle capture from COM7
# Started: 2026-04-18 23:10:40
1776571840.764030 
1776571840.764039 ==============================================
1776571840.764042   RocketChip v0.16.0  RCOS v0.5.0  bench-16c53e6
1776571840.764043   Board: Adafruit Feather RP2350 HSTX
1776571840.764044   Profile: Rocket  Uptime: 359s
1776571860.110345 [STAGE_T] state RXW->TX t=379157793
1776571860.218030 [STAGE_T] state TX->RXW t=379257488
1776571860.325874 [STAGE_T] state RXW->TX t=379357403
1776571860.325879 [STAGE_T] state RXW->TX t=379357795
1776571860.434282 [STAGE_T] state TX->RXW t=379457484
1776571860.542622 [STAGE_T] state RXW->TX t=379657408
1776571860.542627 [STAGE_T] state RXW->TX t=379657780
1776571860.650747 [STAGE_T] state TX->RXW t=379757534
1776571860.866017 [STAGE_T] state RXW->TX t=379957413
1776571860.866022 [STAGE_T] state RXW->TX t=379957755
1776571860.974005 [STAGE_T] state TX->RXW t=380057491
1776571861.082313 [STAGE_T] state RXW->TX t=380157412
1776571861.082318 [STAGE_T] state RXW->TX t=380157786
1776571861.190455 [STAGE_T] state TX->RXW t=380257493
1776571861.297995 [STAGE_T] state RXW->TX t=380357397
1776571861.298000 [STAGE_T] state RXW->TX t=380357780
1776571861.405933 [STAGE_T] state TX->RXW t=380458155
1776571861.514034 [STAGE_T] state RXW->TX t=380557415
1776571861.514038 [STAGE_T] state RXW->TX t=380557824
1776571861.621643 [STAGE_T] state TX->RXW t=380657500
1776571861.728940 [STAGE_T] state RXW->TX t=380757415
1776571861.728945 [STAGE_T] state RXW->TX t=380757786
1776571861.837546 [STAGE_T] state TX->RXW t=380857491
1776571861.944966 [STAGE_T] state RXW->TX t=381057412
1776571861.944971 [STAGE_T] state RXW->TX t=381057784
1776571862.053088 [STAGE_T] state TX->RXW t=381157501
1776571862.161365 [STAGE_T] state RXW->TX t=381257407
1776571862.161370 [STAGE_T] state RXW->TX t=381257806
1776571862.269554 [STAGE_T] state TX->RXW t=381357481
1776571862.377230 [STAGE_T] state RXW->TX t=381457409
1776571862.377235 [STAGE_T] state RXW->TX t=381457782
1776571862.485811 [STAGE_T] state TX->RXW t=381557495
1776571862.594386 [STAGE_T] state RXW->TX t=381657418
1776571862.594391 [STAGE_T] state RXW->TX t=381657801
1776571862.702095 [STAGE_T] state TX->RXW t=381757498
1776571862.809854 [STAGE_T] state RXW->TX t=381857410
1776571862.809863 [STAGE_T] state RXW->TX t=381857792
1776571862.918356 [STAGE_T] state TX->RXW t=381957517
1776571863.026628 [STAGE_T] state RXW->TX t=382057404
1776571863.026633 [STAGE_T] state RXW->TX t=382057782
1776571863.135301 [STAGE_T] state TX->RXW t=382157491
1776571863.243701 [STAGE_T] state RXW->TX t=382257401
1776571863.243705 [STAGE_T] state RXW->TX t=382257779
1776571863.243707 [STAGE_T] state TX->RXW t=382357483
1776571863.352067 [STAGE_T] state RXW->TX t=382457410
1776571863.352072 [STAGE_T] state RXW->TX t=382457822
1776571863.459970 [STAGE_T] state TX->RXW t=382557512
1776571863.568267 [STAGE_T] state RXW->TX t=382657412
1776571863.568272 [STAGE_T] state RXW->TX t=382657763
1776571863.675412 [STAGE_T] state TX->RXW t=382757500
1776571863.892375 [STAGE_T] state RXW->TX t=382957409
1776571863.892379 [STAGE_T] state RXW->TX t=382957800
1776571864.000053 [STAGE_T] state TX->RXW t=383057500
1776571864.216178 [STAGE_T] state RXW->TX t=383257400
1776571864.216189 [STAGE_T] state RXW->TX t=383257750
1776571864.324365 [STAGE_T] state TX->RXW t=383357517
1776571864.431689 [STAGE_T] state RXW->TX t=383457409
1776571864.431694 [STAGE_T] state RXW->TX t=383457775
1776571864.539979 [STAGE_T] state TX->RXW t=383557497
1776571864.648482 [STAGE_T] state RXW->TX t=383757426
1776571864.648486 [STAGE_T] state RXW->TX t=383757806
1776571864.756379 [STAGE_T] state TX->RXW t=383857500
1776571864.972141 [STAGE_T] state RXW->TX t=384057406
1776571864.972148 [STAGE_T] state RXW->TX t=384057768
1776571865.079835 [STAGE_T] state TX->RXW t=384157501
